url,transaction_type
https://immovlan.be/en/detail/residence/for-sale/7100/haine-saint-pierre/vbd45315,house
https://immovlan.be/en/detail/residence/for-sale/6200/bouffioulx/vbd45314,house
https://immovlan.be/en/projectdetail/24431-p-2275-n2ig4ufr,house
https://immovlan.be/en/detail/villa/for-sale/5070/sart-saint-laurent/vbd45300,house
https://immovlan.be/en/projectdetail/24431-p-vk2254-fzbjbcd4,house
https://immovlan.be/en/projectdetail/25923-7226530,house
https://immovlan.be/en/projectdetail/2853502-rmg01422468_om_271976,house
https://immovlan.be/en/projectdetail/1477687-in00563967_om_36403,house
https://immovlan.be/en/projectdetail/1864580-7228917,house
https://immovlan.be/en/projectdetail/2108834-7229180,house
https://immovlan.be/en/detail/residence/for-sale/2560/nijlen/rbu59459,house
https://immovlan.be/en/detail/residence/for-sale/5544/agimont/vbd45258,house
https://immovlan.be/en/detail/residence/for-sale/7780/comines-warneton/vbd30675,house
https://immovlan.be/en/detail/residence/for-sale/6280/gerpinnes/vbd32345,house
https://immovlan.be/en/detail/residence/for-sale/7134/epinois/vbd33527,house
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu19525,house
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd22082,house
https://immovlan.be/en/projectdetail/3341014-7011316,house
https://immovlan.be/en/detail/residence/for-sale/9950/waarschoot/rbu59254,house
https://immovlan.be/en/detail/residence/for-sale/9950/waarschoot/rbu59253,house
https://immovlan.be/en/detail/residence/for-sale/8580/avelgem/rbu27255,house
https://immovlan.be/en/projectdetail/1441863-7222871,house
https://immovlan.be/en/projectdetail/25923-7225840,house
https://immovlan.be/en/projectdetail/25923-7225794,house
https://immovlan.be/en/detail/villa/for-sale/6560/erquelinnes/vbd44848,house
https://immovlan.be/en/detail/residence/for-sale/6560/erquelinnes/vbd44847,house
https://immovlan.be/en/detail/mixed-building/for-sale/6240/farciennes/vbd44803,house
https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbu58563,house
https://immovlan.be/en/detail/residence/for-sale/8670/oostduinkerke/rbu58498,house
https://immovlan.be/en/detail/residence/for-sale/4219/wasseiges/vbd44721,house
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd39810,house
https://immovlan.be/en/projectdetail/1876557-8567130,house
https://immovlan.be/en/projectdetail/25923-7225244,house
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd44309,house
https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd32524,house
https://immovlan.be/en/detail/residence/for-sale/4780/recht/vwd15127,house
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd44107,house
https://immovlan.be/en/projectdetail/23884-00002088_om_18269,house
https://immovlan.be/en/projectdetail/23884-00002088_om_18278,house
https://immovlan.be/en/projectdetail/1485769-00955250_om_271290,house
https://immovlan.be/en/projectdetail/1634773-4160797,house
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd43554,house
https://immovlan.be/en/projectdetail/26855-5410200,house
https://immovlan.be/en/projectdetail/26931-01061037_om_4080,house
https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,house
https://immovlan.be/en/projectdetail/24431-p-vk2220-oucrm7ve,house
https://immovlan.be/en/projectdetail/24431-p-2278-nmeu0c5a,house
https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,house
https://immovlan.be/en/projectdetail/1485770-01267920_om_266550,house
https://immovlan.be/en/projectdetail/24431-p-vk2250-9gucv2na,house
https://immovlan.be/en/projectdetail/1485768-01267924_om_265204,house
https://immovlan.be/en/projectdetail/23459-4155434,house
https://immovlan.be/en/projectdetail/23459-4100533,house
https://immovlan.be/en/projectdetail/1485772-01267922_om_263977,house
https://immovlan.be/en/projectdetail/1383956-01249060_om_4076,house
https://immovlan.be/en/projectdetail/1337813-8510994,house
https://immovlan.be/en/projectdetail/23459-4054420,house
https://immovlan.be/en/projectdetail/2365186-038f498b-7f9c-4cf3-bddf-72772c0a8ae2,house
https://immovlan.be/en/projectdetail/24431-p-vk2184-8at86gmj,house
https://immovlan.be/en/projectdetail/1506328-3593318,house
https://immovlan.be/en/projectdetail/24966-2423471,house
https://immovlan.be/en/projectdetail/24941-6804581,house
https://immovlan.be/en/projectdetail/24941-6804522,house
https://immovlan.be/en/projectdetail/24941-6785706,house
https://immovlan.be/en/projectdetail/1383956-01249060_om_3952,house
https://immovlan.be/en/projectdetail/26817-6665922,house
https://immovlan.be/en/projectdetail/24941-6700864,house
https://immovlan.be/en/projectdetail/24941-6700490,house
https://immovlan.be/en/projectdetail/24941-6691629,house
https://immovlan.be/en/projectdetail/2407531-4060529,house
https://immovlan.be/en/projectdetail/vi0002166,house
https://immovlan.be/en/projectdetail/vi0002165,house
https://immovlan.be/en/projectdetail/1485770-01267920_om_236311,house
https://immovlan.be/en/projectdetail/26931-01061037_om_4013,house
https://immovlan.be/en/projectdetail/1290232-3397087,house
https://immovlan.be/en/projectdetail/26855-6294949,house
https://immovlan.be/en/projectdetail/26931-01061037_om_4006,house
https://immovlan.be/en/projectdetail/26931-01061037_om_3987,house
https://immovlan.be/en/projectdetail/23459-3602078,house
https://immovlan.be/en/projectdetail/1716482-3865686,house
https://immovlan.be/en/projectdetail/20611-6255906,house
https://immovlan.be/en/projectdetail/1143862-8359159,house
https://immovlan.be/en/projectdetail/26931-01061037_om_3928,house
https://immovlan.be/en/projectdetail/1645097-in00001168_om_2580,house
https://immovlan.be/en/projectdetail/2950353-5822725,house
https://immovlan.be/en/projectdetail/23459-3699788,house
https://immovlan.be/en/projectdetail/2950353-5600787,house
https://immovlan.be/en/projectdetail/2023629-5244809,house
https://immovlan.be/en/projectdetail/1304239-vi0001930,house
https://immovlan.be/en/projectdetail/1304239-vi0001987,house
https://immovlan.be/en/projectdetail/25923-7222463,house
https://immovlan.be/en/projectdetail/25923-7192201,house
https://immovlan.be/en/projectdetail/24574-4154420,house
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu55625,house
https://immovlan.be/en/detail/residence/for-sale/6250/aiseau-presles/vbd42976,house
https://immovlan.be/en/projectdetail/2905433-rmg01424715_om_270842,house
https://immovlan.be/en/detail/residence/for-sale/5380/forville/vbd42885,house
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rwc41047,house
https://immovlan.be/en/detail/residence/for-sale/8490/jabbeke/rwc41046,house
https://immovlan.be/en/projectdetail/2553831-7220329,house
https://immovlan.be/en/projectdetail/2023629-7219767,house
https://immovlan.be/en/projectdetail/1485769-00955250_om_270721,house
https://immovlan.be/en/projectdetail/1737550-01335585_om_270678,house
https://immovlan.be/en/projectdetail/1477687-in00563967_om_36517,house
https://immovlan.be/en/projectdetail/1477687-in00563967_om_36556,house
https://immovlan.be/en/projectdetail/1884490-5967963,house
https://immovlan.be/en/projectdetail/1477687-in00563967_om_33100,house
https://immovlan.be/en/projectdetail/25923-7219068,house
https://immovlan.be/en/projectdetail/1737550-01335585_om_270516,house
https://immovlan.be/en/detail/residence/for-sale/8550/zwevegem/rbt29418,house
https://immovlan.be/en/detail/residence/for-sale/3740/munsterbilzen/rbu66619,house
https://immovlan.be/en/detail/bungalow/for-sale/8920/langemark/rbu66618,house
https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd49773,house
